Name,Start,Duration,GPU,Context
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)",4.916s,2.144 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)",4.91623s,2.176 μs,GPU 0,Stream 7
"void at::native::<unnamed>::nll_loss_backward_reduce_cuda_kernel_2d<float, long>(T1 *, T1 *, T2 *, T1 *, T1 *, bool, int, int, int, long)",4.91624s,13.824 μs,GPU 0,Stream 7
"void <unnamed>::softmax_warp_backward<float, float, float, (int)4, (bool)1, (bool)0>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)",4.91626s,2.880 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)",4.91628s,2.463 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, at::native::div_trunc_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(long, long) (instance 1)]>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4.91635s,3.040 μs,GPU 0,Stream 7
"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)",4.91637s,2.240 μs,GPU 0,Stream 7
"void at_cuda_detail::cub::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, int>::Policy800, (bool)0, long, at::cuda::cub::detail::OpaqueType<(int)8>, int>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int)",4.91638s,11.648 μs,GPU 0,Stream 7
"void <unnamed>::indexing_backward_kernel<float, (int)4>(long *, long *, T1 *, T1 *, long, long, long, long, bool)",4.91639s,3.776 μs,GPU 0,Stream 7
ampere_sgemm_32x128_nn,4.91642s,22.592 μs,GPU 0,Stream 7
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params),4.91645s,25.280 μs,GPU 0,Stream 7
"void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)",4.91648s,4.672 μs,GPU 0,Stream 7
"void at::native::reduce_kernel<(int)256, (int)2, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",4.91648s,27.744 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91651s,2.624 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91652s,2.560 μs,GPU 0,Stream 7
"void at::native::<unnamed>::layer_norm_grad_input_kernel<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",4.91654s,47.072 μs,GPU 0,Stream 7
"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",4.91659s,95.104 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91668s,3.040 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91669s,2.784 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91669s,43.839 μs,GPU 0,Stream 7
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",4.91674s,33.952 μs,GPU 0,Stream 7
"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",4.91677s,25.504 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",4.9168s,2.976 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91681s,44.064 μs,GPU 0,Stream 7
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",4.91685s,33.952 μs,GPU 0,Stream 7
"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",4.91689s,25.184 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91691s,2.816 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91692s,33.376 μs,GPU 0,Stream 7
ampere_sgemm_128x64_nn,4.91695s,107.936 μs,GPU 0,Stream 7
void cutlass::Kernel<cutlass_80_simt_sgemm_128x64_8x5_nt_align1>(T1::Params),4.91706s,172.032 μs,GPU 0,Stream 7
"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",4.91724s,32.160 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91727s,3.041 μs,GPU 0,Stream 7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",4.91728s,3.552 μs,GPU 0,Stream 7
